source,title,breed,gender,age,price_mad,location,url
avito.ma,karim MA,Cheval,,,5400,,https://www.avito.ma/fr/autre_secteur/autre_matériel_professionel/Compresseur_silencieux_100L_Monophasé_3_HP_GTS_Pro_57154030.htm
avito.ma,abdel,Cheval,,,1500,,https://www.avito.ma/fr/hamza/matériel_agricole/Tronçonneuse_Alpina_ACS_538__14__38_5cc_Barre_35cm_1_6kW_57145729.htm
avito.ma,Geek Horizon,Cheval,,,25000,,https://www.avito.ma/fr/autre_secteur/pièces_et_accessoires_pour_véhicules/Nissan_Murano_Z50_joint_de_culasse_HS_57139072.htm
avito.ma,Houda,Cheval,,,1200,,https://www.avito.ma/fr/route_d_ourika/jouets/Lot_de_17_pieces_57125473.htm
avito.ma,Achraf,Cheval,,,460000,,https://www.avito.ma/fr/autre_secteur/terrains_et_fermes/Des_boxes_pour_chevaux_57078526.htm
avito.ma,EL HACHAM BEN DAOUCH,Cheval,,,42000,,https://www.avito.ma/fr/ait_baha/fourgon_et_minibus/Voiture_Trafic_57113450.htm
avito.ma,Achraf,Cheval,,,460000,,https://www.avito.ma/fr/autre_secteur/terrains_et_fermes/Des_boxes_pour_chevaux_57078526.htm
avito.ma,Diae,Cheval,,,1800,,https://www.avito.ma/fr/al_boustane/voyages_et_billetterie/4_tickets_premium_spectacle_salon_de_cheval_57021799.htm
avito.ma,laila,Cheval,,,400000,,https://www.avito.ma/fr/tamallalt/terrains_et_fermes/Terrain_agricole_57053242.htm
avito.ma,adil mojahid,Cheval,,,8000,,https://www.avito.ma/fr/sidi_abdelkarim/autres_matériels_electroniques/Générateur_électrique_57048506.htm
avito.ma,Dina Hasnaoui Amri,Cheval,,,4000,,https://www.avito.ma/fr/aïn_diab/autres_loisirs/Selle_d_équitation_cheval_56972505.htm
avito.ma,ISLAM,Cheval,,,5000,,https://www.avito.ma/fr/centre_ville/arts_et_collections/Sculpteur_cheval_en_bronze_vintage_56970623.htm
avito.ma,HASSAN,Cheval,,,2500,,https://www.avito.ma/fr/oulfa/accessoires_pour_animaux/Scelle_western_56987170.htm
avito.ma,Dina Hasnaoui Amri,Cheval,,,4000,,https://www.avito.ma/fr/aïn_diab/autres_loisirs/Selle_d_équitation_cheval_56972505.htm
avito.ma,ISLAM,Cheval,,,5000,,https://www.avito.ma/fr/centre_ville/arts_et_collections/Sculpteur_cheval_en_bronze_vintage_56970623.htm
avito.ma,said,Cheval,,,160000,,https://www.avito.ma/fr/ourika/fourgon_et_minibus/Iveco_Daily_56968408.htm
avito.ma,Alami marrouni,Cheval,,,4500,,https://www.avito.ma/fr/autre_secteur/autre_matériel_professionel/Tendeuse_pour_mouton_____56958139.htm
avito.ma,Hafsa livraison dispo,Cheval,,,1500,,https://www.avito.ma/fr/autre_secteur/arts_et_collections/Statue_en_cuivre_sur_marbre_un_chariot_romain_56951966.htm
avito.ma,Karima,Cheval,,,24000,,https://www.avito.ma/fr/souissi/animaux_de_ferme/_2_Cheveaux_Fantasia_en_bronze_émaillé__56926165.htm
avito.ma,taha lotfi,Cheval,,,22000,,https://www.avito.ma/fr/afaq/animaux_domestique/cheval_pur_sang_arabe__56868854.htm
avito.ma,Tarik,Cheval,,,2300,,https://www.avito.ma/fr/wifak/arts_et_collections/Statuette_décorative_Cheval_cabré_Argenté_40x30cm_56853661.htm
avito.ma,Mohammed,Cheval,,,300000,,https://www.avito.ma/fr/sidi_yahya/terrains_et_fermes/Terrain_à_2km_du_rond_point_sahb_al_khil_56806640.htm
avito.ma,Mehdi,Cheval,,,5000,,https://www.avito.ma/fr/béni_mellal/accessoires_pour_animaux/selle_cheval__56827007.htm
avito.ma,mohammed rahali,Cheval,,,20000,,https://www.avito.ma/fr/sidi_allal_el_bahraoui/animaux_de_ferme/_cheval__jument_et_poulain_pure_sang_arabe_sorec__56812161.htm
avito.ma,جعفر  الطيار,Cheval,,,5000,,https://www.avito.ma/fr/autre_secteur/animaux_de_ferme/sellerie_de_cheval____complete___56786862.htm
avito.ma,جعفر  الطيار,Cheval,,,2500,,https://www.avito.ma/fr/autre_secteur/autres_accessoires_de_mode/selle_de_cheval____avec_Étriers_de_sécurité_56786837.htm
avito.ma,Mohamed,Cheval,,,3000,,https://www.avito.ma/fr/centre/arts_et_collections/Statut_de_cheval_en_Résine__poly_résine__56773876.htm
avito.ma,Mme Ben,Cheval,,,3500,,https://www.avito.ma/fr/souissi/autre_équipement_pour_bébé_et_enfant/Lot_articles_pour_bébé_en_très_bon_état_56758998.htm
avito.ma,Mostafa boaawid,Cheval,,,9000,,https://www.avito.ma/fr/route_de_ouarzazate/animaux_de_ferme/chevale__libgah_marhba_56744919.htm
avito.ma,khall,Cheval,,,6000,,https://www.avito.ma/fr/abbadi/accessoires_pour_animaux/scellé_pour_cheval__56727003.htm
avito.ma,Hajar abbouchane,Cheval,,,7500,,https://www.avito.ma/fr/khénifra/autre_matériel_professionel/Groupe_électrogène__56723863.htm
avito.ma,Redouane,Cheval,,,50000,,https://www.avito.ma/fr/zone_industrielle_moulay_rachid/animaux_de_ferme/pouliche_pur_sang_arabe_56687559.htm
avito.ma,Mohamed touis,Cheval,,,11000,,https://www.avito.ma/fr/sidi_slimane/autre_matériel_professionel/moteur_chambre_a_froid__56685942.htm
avito.ma,bilal ben amre,Cheval,,,7000,,https://www.avito.ma/fr/hay_al_kamal/autre_matériel_professionel/حي_الكمال__56623455.htm
avito.ma,Amir elkohen,Cheval,,,45000,,https://www.avito.ma/fr/ville_verte/décoration/___Sculpture_cheval_noir____Taille_réelle_56553225.htm
avito.ma,khalid anm,Cheval,,,4300,,https://www.avito.ma/fr/aïn_chock/arts_et_collections/2_Tableau_signé_56551758.htm
avito.ma,hicham,Cheval,,,13000,,https://www.avito.ma/fr/hay_ennasr/animaux_de_ferme/Cheval_pur_sang_arabe_56470047.htm
avito.ma,Nabil,Cheval,,,6000,,https://www.avito.ma/fr/bourgogne/arts_et_collections/Art_équin__56492835.htm
avito.ma,Mostafa azddan,Cheval,,,15000,,https://www.avito.ma/fr/dakhla/animaux_domestique/Cheval_de_tbourida_56440663.htm
avito.ma,HASSAN,Cheval,,,4000,,https://www.avito.ma/fr/tamraght/tapis/PANNEAU_MURAL_TAPISSERIE_FRANCAISE_JP_GOBELIN_56419589.htm
avito.ma,Mimoun,Cheval,,,15000,,https://www.avito.ma/fr/hay_fath/animaux_de_ferme/CHEVAL_DE_COURSE_ARABE_BARBE__56418415.htm
