source,id,title,price,currency,location,type,age,gender,url
avito.ma,https://www.avito.ma/fr/mechra_bel_ksiri/animaux_de_ferme/Sidi_Kacem_Harrouch_57435272,Sidi Kacem Harrouch,10000,MAD,,Cheval,,,https://www.avito.ma/fr/mechra_bel_ksiri/animaux_de_ferme/Sidi_Kacem_Harrouch_57435272.htm
avito.ma,https://www.avito.ma/fr/aouama_gharbia/matériel_agricole/_Hammer_mill__Molino_Martillos__broyeur_concassur__57429824,(Hammer mill)(Molino Martillos)(broyeur concassur),20000,MAD,,Cheval,,,https://www.avito.ma/fr/aouama_gharbia/matériel_agricole/_Hammer_mill__Molino_Martillos__broyeur_concassur__57429824.htm
avito.ma,https://www.avito.ma/fr/sidi_youssef_ben_ali/appartements/Résidence_Noha_2_Sidi_Youssef_Ben_Ali_57418875,Résidence Noha 2 Sidi Youssef Ben Ali,60000,MAD,,Cheval,,,https://www.avito.ma/fr/sidi_youssef_ben_ali/appartements/Résidence_Noha_2_Sidi_Youssef_Ben_Ali_57418875.htm
avito.ma,https://www.avito.ma/fr/route_d_el_jadida/animaux_de_ferme/Cheval_barbe_arabe_à_vendre_57354776,Cheval barbe arabe à vendre,60000,MAD,,Cheval,,,https://www.avito.ma/fr/route_d_el_jadida/animaux_de_ferme/Cheval_barbe_arabe_à_vendre_57354776.htm
avito.ma,https://www.avito.ma/fr/belvédère/arts_et_collections/Très_beau_Spectre_de_gondolier_antique_57401660,Très beau Spectre de gondolier antique,1750,MAD,,Cheval,,,https://www.avito.ma/fr/belvédère/arts_et_collections/Très_beau_Spectre_de_gondolier_antique_57401660.htm
avito.ma,https://www.avito.ma/fr/route_d_el_jadida/animaux_de_ferme/Cheval_barbe_arabe_à_vendre_57354776,Cheval barbe arabe à vendre,60000,MAD,,Cheval,,,https://www.avito.ma/fr/route_d_el_jadida/animaux_de_ferme/Cheval_barbe_arabe_à_vendre_57354776.htm
avito.ma,https://www.avito.ma/fr/salé/animaux_de_ferme/Arabe_Barbe_57378384,Arabe Barbe,30000,MAD,,Cheval,,,https://www.avito.ma/fr/salé/animaux_de_ferme/Arabe_Barbe_57378384.htm
avito.ma,https://www.avito.ma/fr/autre_secteur/jardin/Pompe_3_chevaux_220V_57343754,Pompe 3 chevaux 220V,1450,MAD,,Cheval,,,https://www.avito.ma/fr/autre_secteur/jardin/Pompe_3_chevaux_220V_57343754.htm
avito.ma,https://www.avito.ma/fr/sidi_bernoussi/matériel_agricole/Motoculture_57377284,Motoculture,25000,MAD,,Cheval,,,https://www.avito.ma/fr/sidi_bernoussi/matériel_agricole/Motoculture_57377284.htm
avito.ma,https://www.avito.ma/fr/autre_secteur/autre_matériel_professionel/REGINI_MLI7A_57350033,REGINI MLI7A,35000,MAD,,Cheval,,,https://www.avito.ma/fr/autre_secteur/autre_matériel_professionel/REGINI_MLI7A_57350033.htm
avito.ma,https://www.avito.ma/fr/route_d_el_jadida/animaux_de_ferme/Cheval_barbe_arabe_à_vendre_57354776,Cheval barbe arabe à vendre,60000,MAD,,Cheval,,,https://www.avito.ma/fr/route_d_el_jadida/animaux_de_ferme/Cheval_barbe_arabe_à_vendre_57354776.htm
avito.ma,https://www.avito.ma/fr/autre_secteur/animaux_domestique/Environs_de_Ben_Slimane_57345933,Environs de Ben Slimane,35000,MAD,,Cheval,,,https://www.avito.ma/fr/autre_secteur/animaux_domestique/Environs_de_Ben_Slimane_57345933.htm
